,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Killjoy,11.3,7.4,17.3,1.6
1,Cypher,17.7,13.3,25.5,2.2
2,Sage,8,7.4,8.7,1.3
3,Brimstone,7.6,31.5,5.5,1.8
4,Deadlock,18.9,9.5,6.7,2.4
5,Reyna,4.9,4.6,13.9,1.4
6,Raze,9.6,13.5,8,2
7,Skye,7.8,16.8,3.3,2.1
8,Gekko,6.6,13.7,5.2,2.4
9,Omen,6.9,25,6.8,1.7
10,Fade,3.6,19.1,11.4,1.8
11,Jett,5.4,12.5,9.3,1.6
12,Viper,6.9,14.9,10.8,1.2
13,Astra,3.5,22.6,4,1.7
14,Breach,13.3,14,7,1.6
15,Sova,8.7,21.2,4,1.7
16,Phoenix,10.2,6.6,3.8,2.9
17,Chamber,3.1,7.4,11,1.9
18,Harbor,5.2,14.2,12.9,2.2
19,Neon,9.6,16.8,4.4,1.6
20,KAY/O,10.2,20.2,6.1,1.8
21,Iso,9.8,13.5,5.4,2.5
22,Yoru,10.8,15.5,10.2,2.4
