,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Phoenix,15.8,9.6,4.1,3.9
1,Brimstone,7.6,38.5,8.9,2.2
2,Sage,12.6,8.7,12.1,1.9
3,Reyna,5.9,5.3,15.5,1.6
4,Deadlock,24.2,12.9,9.3,2.9
5,Gekko,9.2,18.7,6.7,3.3
6,Viper,10.8,18.3,12.1,1.6
7,Sova,13.2,24.5,8.9,2
8,Cypher,23.5,16.1,29.8,2.8
9,Astra,3.3,30.7,5.3,1.9
10,Jett,5.3,20.8,11,2.2
11,Fade,6.5,22.8,18.3,2.4
12,Killjoy,13.5,7.2,22.5,2
13,Raze,17.7,17,9.5,2.6
14,Chamber,4.2,9.9,15.1,2.3
15,Skye,9.8,24.3,3.7,2.6
16,Omen,9.7,37.2,7.7,1.8
17,Breach,17.7,20.2,8.3,2
18,Neon,14.9,19.5,6.1,2.2
19,Yoru,15.3,25.2,12.3,3.1
20,Harbor,6.1,16.8,16.5,2.9
21,Iso,13.1,20.1,6.1,3.2
22,KAY/O,14.1,23.9,7.9,2.3
