,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Phoenix,18.5,11.3,3.8,4.1
1,Sage,16.3,8.2,13.6,2.1
2,Deadlock,23,14.9,12,3.2
3,Brimstone,7.9,42.4,10.9,2.5
4,Reyna,5.5,5.5,16.9,1.5
5,Fade,9.3,23.5,23.4,2.7
6,Jett,5.9,22.5,10.3,2.5
7,Killjoy,12.3,6.7,20.4,2
8,Gekko,10.9,23.1,8.3,4
9,Cypher,23.8,18.1,31.2,2.9
10,Raze,20.1,16.9,9.4,2.8
11,Yoru,16.4,29.4,13.3,3.2
12,Sova,14.9,24.3,10.1,2.3
13,Astra,3.4,33.6,6.5,1.8
14,Viper,12.9,18.9,13.8,1.5
15,Neon,19.4,20.2,6,2.3
16,Omen,12.5,41.3,8.9,1.9
17,Skye,11.5,28.8,3.4,2.8
18,Chamber,5.1,10,17.2,2.3
19,Iso,14.6,22.6,5.5,3.3
20,Breach,21.9,22.8,9.7,2.2
21,Harbor,6.5,17.1,19.6,3.1
22,KAY/O,18.5,24.8,9.1,2.3
