,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Killjoy,12.6,7.7,20.1,1.8
1,Cypher,20.6,14.4,27.4,2.5
2,Reyna,5.4,5.1,14.7,1.5
3,Sage,9.4,8.3,10,1.5
4,Brimstone,7.8,34.3,6.7,2
5,Astra,3.5,25.7,4.3,1.9
6,Gekko,7.5,15.1,5.8,2.6
7,Deadlock,21.3,10.7,7.4,2.6
8,Jett,5.4,15.4,10.2,1.8
9,Viper,8.3,16.5,11.4,1.4
10,Raze,12.2,14.9,8.8,2.2
11,Phoenix,12,7.4,4.1,3.3
12,Breach,14.3,16,7.4,1.7
13,Skye,8.2,19,3.7,2.3
14,Sova,10.1,23,5.4,1.8
15,Omen,7.6,29.8,7.2,1.7
16,Fade,4.3,20.8,13,2
17,Chamber,3.3,8.3,12.2,2.1
18,Neon,10.8,17.9,5.2,1.9
19,Iso,10.7,15.9,5.8,2.8
20,Harbor,5.5,15.5,14,2.5
21,Yoru,12.4,18.2,11.2,2.6
22,KAY/O,11.4,21.8,6.8,2
