,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,5.9,5.3,14.9,1.6
1,Brimstone,7.7,36,7.9,2.1
2,Phoenix,13.7,8.4,4.2,3.6
3,Jett,5.2,18.6,10.7,2
4,Sage,10.8,8.7,10.9,1.7
5,Cypher,22.4,15.1,28.4,2.7
6,Gekko,8.2,16.5,6.2,2.9
7,Killjoy,13.2,7.6,21.9,1.9
8,Astra,3.3,28,4.6,1.9
9,Viper,9.8,17.5,11.6,1.6
10,Deadlock,22.7,11.8,8.1,2.8
11,Raze,15.1,16.1,9.2,2.4
12,Sova,11.5,24.1,7.1,1.9
13,Chamber,3.7,9.2,13.4,2.2
14,Skye,8.7,21.5,3.8,2.4
15,Fade,5.2,22,15,2.2
16,Omen,8.3,33.5,7.4,1.8
17,Breach,15.4,17.8,7.6,1.9
18,Neon,12.4,18.7,5.7,2.1
19,Yoru,13.9,21.5,11.7,2.9
20,Harbor,5.7,16.2,14.9,2.7
21,Iso,11.6,18,6,3
22,KAY/O,12.7,22.9,7.4,2.2
