,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,5.7,5.2,14.8,1.6
1,Killjoy,12.9,7.7,20.9,1.8
2,Brimstone,7.8,34.9,7.2,2
3,Cypher,21.4,14.7,27.8,2.6
4,Sage,10,8.5,10.3,1.6
5,Jett,5.3,16.7,10.4,1.9
6,Gekko,7.7,15.6,5.9,2.7
7,Phoenix,12.6,7.8,4.1,3.4
8,Deadlock,21.9,11.1,7.7,2.7
9,Viper,8.9,16.9,11.5,1.5
10,Astra,3.4,26.6,4.3,1.9
11,Raze,13.3,15.4,9,2.3
12,Sova,10.6,23.5,6,1.8
13,Fade,4.6,21.3,13.7,2.1
14,Skye,8.4,20.1,3.8,2.3
15,Omen,7.9,31.3,7.2,1.7
16,Chamber,3.4,8.7,12.6,2.1
17,Breach,14.8,16.7,7.5,1.8
18,Neon,11.4,18.2,5.4,2
19,Harbor,5.6,15.8,14.3,2.5
20,Iso,11,16.7,5.9,2.9
21,Yoru,13,19.4,11.4,2.7
22,KAY/O,11.9,22.2,7,2.1
