,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,15.9,8.3,13.4,2.1
1,Phoenix,18.3,11.3,3.9,4.1
2,Deadlock,23.3,14.6,11.4,3.1
3,Reyna,5.6,5.5,16.8,1.5
4,Brimstone,8,42.5,10.7,2.5
5,Gekko,10.8,23,8.1,3.9
6,Cypher,23.6,17.9,31.4,2.9
7,Jett,5.8,22.4,10.5,2.4
8,Killjoy,12.7,6.7,20.9,2
9,Astra,3.5,33.8,6.6,1.8
10,Sova,15,24.3,10.2,2.2
11,Raze,19.8,17.1,9.5,2.8
12,Viper,12.3,18.9,13.8,1.6
13,Omen,12.3,41.2,8.7,1.9
14,Skye,11.4,28.8,3.5,2.8
15,Chamber,5,10,17.2,2.3
16,Yoru,16.4,29,13.2,3.2
17,Neon,19.1,20.2,6.2,2.4
18,Fade,9.1,23.5,23.2,2.6
19,Breach,21.7,22.8,9.7,2.2
20,Harbor,6.4,17.2,18.7,3.1
21,Iso,14.3,22.4,5.8,3.4
22,KAY/O,17.9,24.9,9,2.4
