,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Harbor,6.6,17.6,20.4,3.3
1,Deadlock,21.9,14.7,12.4,3.3
2,Fade,9.3,23.5,23.2,2.8
3,Phoenix,19.5,11.3,4,4.2
4,Yoru,16.6,30.9,13.6,3.2
5,Astra,3.5,32.9,6.7,1.9
6,Reyna,5.5,5.8,17.4,1.5
7,Viper,14,19.6,14.6,1.6
8,Cypher,24.6,18.6,31.1,3
9,Jett,6.1,22.9,10.6,2.5
10,Killjoy,12.3,6.8,20.1,2
11,Omen,12.6,41.6,9.9,2
12,Sage,17.4,8.3,13.6,2.2
13,Raze,20.6,16.7,9.2,2.9
14,Sova,14.5,24.2,10.2,2.4
15,Brimstone,8.1,42.6,11.2,2.6
16,Skye,11.5,28.9,3.5,2.8
17,Gekko,11.2,23.5,8.3,4.1
18,Chamber,5.6,10.2,17.6,2.3
19,Breach,22,23,9.9,2.3
20,Neon,21.8,20.8,6.9,2.5
21,Iso,14.7,23.1,5.2,3.4
22,KAY/O,18.4,24.5,9.1,2.4
