,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,6.1,5.4,15,1.6
1,Phoenix,14.5,8.9,4.2,3.8
2,Brimstone,7.6,36.8,8.3,2.1
3,Sage,11.5,8.7,11.4,1.8
4,Jett,5.3,19.7,10.9,2.1
5,Gekko,8.6,17.2,6.4,3
6,Viper,10.3,17.8,11.7,1.6
7,Deadlock,23.3,12.2,8.5,2.9
8,Cypher,23,15.5,28.8,2.7
9,Astra,3.2,29.2,4.8,2
10,Sova,12.2,24.4,7.8,1.9
11,Killjoy,13.4,7.5,22.3,1.9
12,Raze,16.3,16.6,9.4,2.5
13,Fade,5.6,22.4,16.1,2.3
14,Chamber,3.9,9.6,14,2.3
15,Skye,9,22.6,3.8,2.5
16,Omen,8.8,35,7.5,1.8
17,Breach,16.2,18.7,7.8,1.9
18,Neon,13.2,19,5.9,2.1
19,Yoru,14.5,23.1,11.9,3
20,Iso,12.1,18.9,6,3.2
21,Harbor,5.9,16.5,15.4,2.8
22,KAY/O,13.2,23.3,7.6,2.2
