,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Killjoy,12,7.6,18.9,1.7
1,Cypher,19.3,14,26.6,2.4
2,Sage,8.7,7.9,9.4,1.4
3,Reyna,5.2,4.8,14.5,1.5
4,Brimstone,7.8,33,6.2,1.9
5,Deadlock,20.3,10.1,7.1,2.5
6,Raze,10.9,14.3,8.5,2.1
7,Gekko,7.1,14.5,5.5,2.5
8,Astra,3.5,24.5,4.1,1.8
9,Viper,7.6,15.8,11.2,1.3
10,Jett,5.4,14,9.8,1.7
11,Skye,8.1,18.1,3.6,2.2
12,Breach,13.9,15.2,7.2,1.6
13,Omen,7.3,27.6,7,1.7
14,Sova,9.4,22.3,4.8,1.7
15,Phoenix,11.1,7,3.9,3.1
16,Chamber,3.2,7.9,11.7,2
17,Fade,3.9,20,12.3,2
18,Neon,10.3,17.4,4.8,1.8
19,Harbor,5.3,14.9,13.6,2.3
20,KAY/O,10.8,21.1,6.5,1.9
21,Iso,10.3,14.9,5.7,2.7
22,Yoru,11.6,16.8,10.8,2.5
