,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,15,8.4,13.3,2
1,Deadlock,24.3,14.4,11.3,3.1
2,Phoenix,18,11.1,3.9,4.1
3,Brimstone,7.8,41.8,10.3,2.4
4,Reyna,5.6,5.4,16.5,1.5
5,Gekko,10.5,22.1,7.8,3.8
6,Cypher,23.5,17.4,31.2,2.8
7,Fade,8.5,23.3,22.6,2.6
8,Viper,11.6,18.8,13.5,1.6
9,Killjoy,12.9,6.8,21.5,2
10,Sova,14.9,24.4,10.2,2.1
11,Jett,5.7,22.2,10.6,2.4
12,Astra,3.6,33.1,6.4,1.8
13,Skye,11.2,27.8,3.5,2.7
14,Raze,19.5,17.3,9.6,2.7
15,Omen,11.8,40.5,8.4,1.8
16,Neon,18.7,20.2,6.1,2.4
17,Breach,21.1,22.4,9.4,2.1
18,Chamber,4.9,10,17,2.3
19,Yoru,16.1,28.3,13,3.2
20,Harbor,6.6,17.4,18.8,3.1
21,Iso,14.2,22,6,3.4
22,KAY/O,16.8,24.7,8.7,2.4
