,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Brimstone,7.7,40.7,9.7,2.3
1,Sage,14,8.6,12.9,2
2,Phoenix,17.3,10.6,4,4
3,Deadlock,24.7,13.8,10.3,3
4,Reyna,5.7,5.3,16.2,1.5
5,Gekko,10.1,20.8,7.4,3.6
6,Sova,14.3,24.4,10,2
7,Viper,11.2,18.6,13,1.6
8,Fade,7.8,23.2,21.2,2.5
9,Astra,3.5,32.5,6,1.8
10,Cypher,23.5,16.9,30.8,2.8
11,Jett,5.5,21.7,10.8,2.3
12,Skye,10.8,26.8,3.5,2.7
13,Killjoy,13.3,6.9,22.1,2
14,Raze,18.8,17.3,9.7,2.7
15,Omen,11,39.6,8.1,1.8
16,Chamber,4.6,10,16.5,2.3
17,Breach,19.8,21.8,8.9,2.1
18,Yoru,16,27.2,12.8,3.2
19,Neon,17.3,19.9,6.1,2.3
20,Harbor,6.3,17.1,17.8,3
21,Iso,14.1,21.3,6.1,3.3
22,KAY/O,15.6,24.5,8.5,2.4
