,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,5.8,5.3,14.9,1.6
1,Brimstone,7.8,35.7,7.6,2
2,Phoenix,13.2,8.1,4.2,3.5
3,Sage,10.5,8.6,10.7,1.7
4,Killjoy,13.1,7.7,21.6,1.9
5,Jett,5.3,17.8,10.6,2
6,Gekko,8,16.1,6.1,2.8
7,Cypher,22,14.9,28.2,2.6
8,Viper,9.4,17.3,11.6,1.5
9,Deadlock,22.5,11.5,7.9,2.8
10,Raze,14.3,15.9,9.2,2.4
11,Astra,3.3,27.5,4.4,1.9
12,Sova,11.2,23.9,6.6,1.9
13,Fade,4.9,21.7,14.3,2.2
14,Skye,8.5,20.8,3.8,2.4
15,Omen,8.1,32.6,7.4,1.8
16,Chamber,3.5,9,13.1,2.2
17,Breach,15.1,17.3,7.6,1.8
18,Neon,11.9,18.5,5.6,2.1
19,Iso,11.3,17.5,6,3
20,Yoru,13.5,20.6,11.6,2.8
21,Harbor,5.7,16.1,14.6,2.6
22,KAY/O,12.3,22.7,7.3,2.1
