,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Phoenix,14.9,9,4.1,3.8
1,Brimstone,7.6,37.3,8.5,2.1
2,Reyna,5.9,5.3,15.1,1.6
3,Sage,11.8,8.7,11.6,1.8
4,Gekko,8.7,17.6,6.4,3.1
5,Jett,5.2,20,10.9,2.1
6,Viper,10.5,18,11.8,1.6
7,Cypher,23.2,15.6,29.1,2.7
8,Deadlock,23.5,12.4,8.7,2.9
9,Sova,12.4,24.5,8.1,1.9
10,Astra,3.3,29.6,4.9,1.9
11,Killjoy,13.4,7.4,22.4,1.9
12,Fade,5.9,22.6,16.7,2.3
13,Raze,16.7,16.7,9.4,2.5
14,Chamber,4,9.7,14.3,2.3
15,Skye,9.2,23.1,3.8,2.5
16,Omen,9,35.7,7.6,1.8
17,Breach,16.5,19.1,7.9,1.9
18,Neon,13.6,19.2,6,2.1
19,Yoru,14.7,23.7,12,3
20,Harbor,5.9,16.6,15.7,2.8
21,Iso,12.4,19.2,6.1,3.2
22,KAY/O,13.4,23.5,7.7,2.2
