,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Phoenix,15.2,9.3,4.1,3.8
1,Brimstone,7.6,37.8,8.7,2.1
2,Reyna,6,5.4,15.2,1.6
3,Sage,12.1,8.7,11.8,1.8
4,Gekko,8.9,18,6.5,3.2
5,Viper,10.6,18.1,11.9,1.6
6,Cypher,23.4,15.8,29.3,2.7
7,Sova,12.7,24.5,8.4,1.9
8,Deadlock,23.7,12.6,8.9,2.9
9,Astra,3.3,30,5,1.9
10,Jett,5.3,20.3,10.9,2.2
11,Fade,6.1,22.7,17.3,2.3
12,Killjoy,13.5,7.3,22.5,2
13,Chamber,4,9.8,14.6,2.3
14,Raze,17.1,16.8,9.4,2.5
15,Skye,9.4,23.5,3.8,2.6
16,Omen,9.2,36.3,7.6,1.8
17,Breach,16.9,19.5,8,2
18,Neon,14.1,19.3,6.1,2.2
19,Yoru,14.9,24.3,12.1,3.1
20,Harbor,6,16.7,15.9,2.8
21,Iso,12.6,19.6,6.1,3.2
22,KAY/O,13.6,23.6,7.8,2.3
