,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Phoenix,15.6,9.5,4.1,3.9
1,Brimstone,7.6,38.2,8.8,2.2
2,Sage,12.3,8.7,12,1.9
3,Reyna,6,5.4,15.4,1.6
4,Deadlock,24,12.8,9.1,2.9
5,Gekko,9.1,18.4,6.6,3.3
6,Viper,10.7,18.2,12,1.6
7,Cypher,23.4,16,29.5,2.8
8,Sova,13,24.5,8.7,2
9,Astra,3.3,30.4,5.1,1.9
10,Jett,5.3,20.6,11,2.2
11,Fade,6.3,22.8,17.8,2.4
12,Chamber,4.1,9.9,14.9,2.3
13,Raze,17.5,16.9,9.5,2.6
14,Killjoy,13.5,7.3,22.5,2
15,Skye,9.6,23.9,3.7,2.6
16,Omen,9.5,36.8,7.7,1.8
17,Breach,17.3,19.9,8.2,2
18,Neon,14.5,19.4,6.1,2.2
19,Yoru,15.2,24.8,12.2,3.1
20,Harbor,6,16.7,16.3,2.8
21,Iso,12.8,19.9,6.1,3.2
22,KAY/O,13.9,23.8,7.9,2.3
