,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,14.3,8.5,13.1,2
1,Brimstone,7.7,41.1,9.9,2.4
2,Phoenix,17.6,10.7,4,4.1
3,Deadlock,24.6,14,10.6,3
4,Cypher,23.5,17.1,31,2.8
5,Reyna,5.7,5.3,16.3,1.5
6,Gekko,10.2,21.3,7.6,3.7
7,Fade,8.1,23.2,21.7,2.5
8,Viper,11.3,18.6,13.1,1.6
9,Sova,14.5,24.4,10.1,2.1
10,Killjoy,13.2,6.9,21.8,2
11,Skye,10.9,27.2,3.5,2.7
12,Astra,3.5,32.8,6.2,1.9
13,Jett,5.5,21.9,10.8,2.4
14,Raze,19.1,17.3,9.6,2.7
15,Omen,11.3,40,8.2,1.8
16,Chamber,4.7,10.1,16.7,2.3
17,Yoru,15.9,27.5,12.8,3.2
18,Breach,20.2,22,9.1,2.1
19,Neon,17.6,20,6.1,2.3
20,Harbor,6.4,17.2,18.2,3
21,Iso,14.2,21.6,6,3.4
22,KAY/O,15.9,24.5,8.5,2.4
