,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,14.7,8.4,13.2,2
1,Deadlock,24.6,14.2,10.9,3.1
2,Phoenix,17.8,11,4,4.1
3,Brimstone,7.8,41.5,10.1,2.4
4,Reyna,5.7,5.3,16.4,1.5
5,Cypher,23.5,17.3,31.1,2.8
6,Gekko,10.4,21.7,7.7,3.7
7,Fade,8.3,23.2,22.1,2.5
8,Sova,14.7,24.3,10.2,2.1
9,Skye,11.1,27.5,3.5,2.7
10,Astra,3.6,33,6.3,1.8
11,Viper,11.4,18.7,13.3,1.6
12,Killjoy,13.1,6.8,21.7,2
13,Jett,5.6,22,10.7,2.4
14,Raze,19.4,17.3,9.6,2.7
15,Omen,11.5,40.2,8.3,1.8
16,Chamber,4.8,10.1,16.9,2.3
17,Breach,20.7,22.2,9.2,2.1
18,Yoru,16,28,12.9,3.2
19,Neon,18.3,20.1,6.1,2.3
20,Harbor,6.5,17.3,18.4,3.1
21,Iso,14.3,21.8,6,3.4
22,KAY/O,16.5,24.7,8.7,2.4
