,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Brimstone,7.6,39.7,9.3,2.3
1,Phoenix,16.7,10.2,4,4
2,Sage,13.4,8.6,12.6,1.9
3,Deadlock,24.6,13.4,9.9,3
4,Reyna,5.8,5.3,15.9,1.5
5,Sova,13.9,24.5,9.6,2
6,Gekko,9.7,19.9,7.1,3.5
7,Viper,11,18.5,12.6,1.6
8,Fade,7.2,23,19.9,2.4
9,Cypher,23.5,16.6,30.3,2.8
10,Jett,5.4,21.3,10.9,2.3
11,Astra,3.4,31.8,5.7,1.9
12,Raze,18.4,17.2,9.6,2.6
13,Killjoy,13.4,7,22.3,2
14,Skye,10.4,25.9,3.6,2.6
15,Omen,10.4,38.7,7.9,1.8
16,Chamber,4.4,10,15.9,2.3
17,Breach,18.9,21.2,8.6,2
18,Yoru,15.7,26.3,12.6,3.1
19,Neon,16.3,19.8,6.1,2.2
20,Harbor,6.2,16.9,17.4,2.9
21,Iso,13.7,20.8,6.1,3.3
22,KAY/O,14.9,24.2,8.2,2.3
