,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Sage,15.4,8.3,13.4,2
1,Phoenix,18.2,11.2,3.9,4.1
2,Deadlock,24,14.5,11.5,3.1
3,Brimstone,7.9,42.2,10.6,2.5
4,Fade,8.9,23.4,22.9,2.6
5,Reyna,5.6,5.4,16.6,1.5
6,Gekko,10.6,22.5,8,3.8
7,Sova,15,24.4,10.2,2.1
8,Cypher,23.6,17.6,31.3,2.8
9,Astra,3.6,33.4,6.6,1.8
10,Viper,11.9,18.8,13.6,1.6
11,Killjoy,12.8,6.7,21.3,2
12,Raze,19.7,17.3,9.6,2.7
13,Jett,5.7,22.3,10.6,2.4
14,Omen,12,40.7,8.5,1.8
15,Skye,11.3,28.1,3.5,2.8
16,Neon,18.9,20.2,6.2,2.4
17,Chamber,5,10.1,17.2,2.3
18,Yoru,16.1,28.6,13.1,3.2
19,Breach,21.3,22.5,9.5,2.1
20,Iso,14.3,22.2,5.9,3.4
21,KAY/O,17.3,24.8,8.9,2.4
22,Harbor,6.6,17.5,18.9,3.1
