,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Brimstone,7.7,40.2,9.5,2.3
1,Sage,13.7,8.6,12.8,2
2,Phoenix,17,10.4,4,4
3,Deadlock,24.7,13.6,10.1,3
4,Reyna,5.7,5.3,16.1,1.5
5,Gekko,9.9,20.3,7.2,3.5
6,Sova,14.1,24.5,9.8,2
7,Viper,11.1,18.5,12.8,1.6
8,Cypher,23.5,16.7,30.6,2.8
9,Astra,3.4,32.2,5.9,1.9
10,Jett,5.4,21.5,10.9,2.3
11,Fade,7.5,23.1,20.6,2.4
12,Skye,10.6,26.4,3.6,2.7
13,Killjoy,13.4,7,22.2,2
14,Raze,18.6,17.2,9.6,2.6
15,Chamber,4.5,10,16.2,2.3
16,Omen,10.7,39.1,8,1.8
17,Breach,19.4,21.5,8.8,2.1
18,Yoru,15.8,26.7,12.7,3.1
19,Neon,16.7,19.9,6.1,2.2
20,Harbor,6.2,16.9,17.6,3
21,Iso,14,21.1,6.1,3.3
22,KAY/O,15.3,24.4,8.3,2.3
