,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Killjoy,10.1,7,15.3,1.4
1,Cypher,15.7,12.5,23.6,2
2,Sage,7.2,6.7,8,1.2
3,Reyna,4.5,4.2,12.8,1.3
4,Gekko,6.1,12.9,4.9,2.2
5,Deadlock,16.7,8.8,6.3,2.2
6,Viper,6.1,13.8,10.2,1.1
7,Raze,8.6,12.4,7.2,1.9
8,Skye,7.5,15.7,3,1.9
9,Brimstone,7.2,28.8,4.9,1.7
10,Sova,8.1,19.9,3.5,1.6
11,Jett,5.3,11.1,8.6,1.5
12,Omen,6.4,21.7,6.5,1.6
13,Fade,3.3,18.1,10.8,1.7
14,Chamber,3,6.9,10,1.7
15,Phoenix,9.1,6.2,3.6,2.6
16,Harbor,5,13.2,12.5,2
17,Breach,12.8,13.1,6.7,1.4
18,KAY/O,9.3,18.8,5.5,1.6
19,Yoru,9.8,14.2,9.4,2.2
20,Neon,9,15.9,4,1.5
21,Iso,9,12,4.9,2.3
22,Astra,3.4,19.6,3.8,1.5
