,Agent Name,Ability 1,Ability 2,Ability 3,Ultimate
0,Reyna,6,5.4,15,1.6
1,Phoenix,14.1,8.6,4.2,3.7
2,Brimstone,7.6,36.5,8.1,2.1
3,Sage,11.2,8.7,11.2,1.7
4,Jett,5.3,19.2,10.8,2.1
5,Gekko,8.4,16.9,6.3,3
6,Cypher,22.7,15.3,28.6,2.7
7,Viper,10.1,17.7,11.7,1.6
8,Killjoy,13.3,7.5,22.1,1.9
9,Astra,3.3,28.7,4.7,2
10,Deadlock,23.1,12,8.4,2.8
11,Raze,15.8,16.4,9.3,2.5
12,Sova,11.9,24.3,7.4,1.9
13,Chamber,3.8,9.5,13.7,2.2
14,Fade,5.4,22.2,15.5,2.3
15,Skye,8.8,22.1,3.8,2.5
16,Omen,8.6,34.4,7.5,1.8
17,Breach,15.8,18.3,7.7,1.9
18,Neon,12.8,18.9,5.8,2.1
19,Yoru,14.3,22.4,11.8,3
20,Harbor,5.8,16.4,15.2,2.7
21,Iso,11.8,18.6,6,3.1
22,KAY/O,13,23.1,7.5,2.2
